channel,review_id,slot_id,task_id,family,base_family,block,profile,difficulty_tier,coupling,schedule,dependency_distance,structural_split,category,eligible,reached,exposed,verdict,reason,source_lines,event_indices,request_ids
machine,R-7E35975F47CF01,I-IC01_C1_BUFFER-BOUND-CONCURRENT-LONG-glm46,IC01_C1_BUFFER-BOUND-CONCURRENT-LONG,IC01_C1_BUFFER,C1_BUFFER,RQ2_FACTORIAL,glm46,HARD,BOUND,CONCURRENT,LONG,,S0_source_entry,True,True,True,C,"""PYTHON_SOURCE""",[],[],[]
machine,R-7E35975F47CF01,I-IC01_C1_BUFFER-BOUND-CONCURRENT-LONG-glm46,IC01_C1_BUFFER-BOUND-CONCURRENT-LONG,IC01_C1_BUFFER,C1_BUFFER,RQ2_FACTORIAL,glm46,HARD,BOUND,CONCURRENT,LONG,,S1_api,True,True,True,C,"{""rejected_call_ids"": []}",[],[],[]
machine,R-7E35975F47CF01,I-IC01_C1_BUFFER-BOUND-CONCURRENT-LONG-glm46,IC01_C1_BUFFER-BOUND-CONCURRENT-LONG,IC01_C1_BUFFER,C1_BUFFER,RQ2_FACTORIAL,glm46,HARD,BOUND,CONCURRENT,LONG,,S2_robot_contract,True,True,True,V,"{""trusted_error_count"": 2}",[],[],[]
machine,R-7E35975F47CF01,I-IC01_C1_BUFFER-BOUND-CONCURRENT-LONG-glm46,IC01_C1_BUFFER-BOUND-CONCURRENT-LONG,IC01_C1_BUFFER,C1_BUFFER,RQ2_FACTORIAL,glm46,HARD,BOUND,CONCURRENT,LONG,,T_task_completion,True,True,True,V,"{""final_goal_ok"": false, ""lifecycle_complete"": false}",[],[],[]
machine,R-7E35975F47CF01,I-IC01_C1_BUFFER-BOUND-CONCURRENT-LONG-glm46,IC01_C1_BUFFER-BOUND-CONCURRENT-LONG,IC01_C1_BUFFER,C1_BUFFER,RQ2_FACTORIAL,glm46,HARD,BOUND,CONCURRENT,LONG,,P_direct_base,True,False,False,NE,"{""blocked_by_stage"": [""S2_robot_contract""], ""direct_labels_recorded_but_not_interpreted"": {""BUFFER_EVENT_PROTOCOL"": ""V"", ""BUFFER_OCCUPANCY_OWNER"": ""C"", ""BUFFER_RECEIPT"": ""V"", ""SUPPORT_DEPARTURE"": ""C""}, ""geometry_status_recorded_but_not_interpreted"": ""INCONCLUSIVE_INCOMPLETE_TRACE"", ""stage_gate"": {""S0_source_entry"": ""C"", ""S1_api"": ""C"", ""S2_robot_contract"": ""V""}}",[],[],[]
machine,R-7E35975F47CF01,I-IC01_C1_BUFFER-BOUND-CONCURRENT-LONG-glm46,IC01_C1_BUFFER-BOUND-CONCURRENT-LONG,IC01_C1_BUFFER,C1_BUFFER,RQ2_FACTORIAL,glm46,HARD,BOUND,CONCURRENT,LONG,,O_observation_branching,False,False,False,NA,"""NO_DECLARED_OBSERVATION_FACT""",[],[],[]
machine,R-7E35975F47CF01,I-IC01_C1_BUFFER-BOUND-CONCURRENT-LONG-glm46,IC01_C1_BUFFER-BOUND-CONCURRENT-LONG,IC01_C1_BUFFER,C1_BUFFER,RQ2_FACTORIAL,glm46,HARD,BOUND,CONCURRENT,LONG,,structure_fidelity,True,True,True,V,"{""assigned_structure"": ""U"", ""rq2_wrapper"": ""V""}",[],[],[]
machine,R-BBD56459DE0AA1,I-IC01_C1_BUFFER-BOUND-CONCURRENT-LONG-glm47,IC01_C1_BUFFER-BOUND-CONCURRENT-LONG,IC01_C1_BUFFER,C1_BUFFER,RQ2_FACTORIAL,glm47,HARD,BOUND,CONCURRENT,LONG,,S0_source_entry,True,True,True,C,"""PYTHON_SOURCE""",[],[],[]
machine,R-BBD56459DE0AA1,I-IC01_C1_BUFFER-BOUND-CONCURRENT-LONG-glm47,IC01_C1_BUFFER-BOUND-CONCURRENT-LONG,IC01_C1_BUFFER,C1_BUFFER,RQ2_FACTORIAL,glm47,HARD,BOUND,CONCURRENT,LONG,,S1_api,True,True,True,C,"{""rejected_call_ids"": []}",[],[],[]
machine,R-BBD56459DE0AA1,I-IC01_C1_BUFFER-BOUND-CONCURRENT-LONG-glm47,IC01_C1_BUFFER-BOUND-CONCURRENT-LONG,IC01_C1_BUFFER,C1_BUFFER,RQ2_FACTORIAL,glm47,HARD,BOUND,CONCURRENT,LONG,,S2_robot_contract,True,True,True,V,"{""trusted_error_count"": 2}",[],[],[]
